date,tweet_text,hashtags,tweet_url,likes,retweets,categories
16-11-06,"Thank you Iowa - Get out &amp; #VoteTrumpPence16!
https://t.co/HfihPERFgZ https://t.co/QsukELQmKb",VoteTrumpPence16,https://twitter.com/realDonaldTrump/status/795346759119736832,26451,9296,Presidential Elections
16-11-06,Van Jones: There Is A Crack in the Blue Wall۪ It Has to Do With Trade: https://t.co/BvEF9cC7o7,,https://twitter.com/realDonaldTrump/status/795311315304714242,19294,8618,Other
16-11-06,RT @IvankaTrump: Thank you New Hampshire! __ https://t.co/pdnxXq2jgy,,https://twitter.com/realDonaldTrump/status/795327323016953857,27410,8497,Family
16-11-06,"JOIN ME TOMORROW!
MINNESOTA ۢ 2pm
https://t.co/WcgLh4prS7

MICHIGAN ۢ 6pm
https://t.co/9BqGVKNNrt

VIRGINIA ۢ 9:30p_ https://t.co/A1oVhCrT6t",,https://twitter.com/realDonaldTrump/status/795057936565313536,18251,6966,Presidential Elections
16-11-06,"RT @DanScavino: Join @realDonaldTrump LIVE in Denver, Colorado via his #Facebook page- we are here!!
#MakeAmericaGreatAgain__
https://t.c_",Facebook;MakeAmericaGreatAgain,https://twitter.com/realDonaldTrump/status/795120273070686208,15478,5336,MAGA
16-11-06,"Join me live in Reno, Nevada!
https://t.co/T4bf1hrxaA https://t.co/EPqRXHa1CM",,https://twitter.com/realDonaldTrump/status/795058179168055296,17606,4738,Presidential Elections
16-11-07,Thank you Pennsylvania- I am forever grateful for your amazing support. Lets MAKE AMERICA GREAT AGAIN! #MAGA_ https://t.co/qbcJZAzw6z,MAGA,https://twitter.com/realDonaldTrump/status/795479521520717825,48520,18828,MAGA
16-11-07,"America must decide between failed policies or fresh perspective, a corrupt system or an outsider
https://t.co/ll8QIW9SqW",,https://twitter.com/realDonaldTrump/status/795741975022604293,36663,16108,Government
16-11-07,Thank you Michigan! This is a MOVEMENT that will never be seen again- its our last chance to #DrainTheSwamp! Watch_ https://t.co/cSdGkCFYRL,Drain The Swamp,https://twitter.com/realDonaldTrump/status/795443728282505216,39206,15936,Drain The Swamp
16-11-07,"Our American comeback story begins 11/8/16. Together, we will MAKE AMERICA SAFE &amp; GREAT again for everyone! Watch:_ https://t.co/ek8Cn3CgTr",,https://twitter.com/realDonaldTrump/status/795417907476000768,37080,15291,MAGA
